lineage	3000007	3000044	3000052	3000054	3000058	3000064	3000085	3000095	3000106	3000110	3000139	3000144	3000602	3100015	3100028	3100075	3100078	3100079	3100081	3100082	3100084	3100088	3100091	3100093	3100095	3100096	3100099	3100100	3100104	3100105	3100109	3100113	3100115	3100118	3100119	3100120	3100122	3100124	3100128	3100131	3100132	3100135	3100136	3100142	3100149	3100151	3100152	3100155	3100164	3100170	3100171	3100173	3100174	3100175	3100176	3100181	3100185	3100186	3100187	3100195	3100197	3100202	3100204	3100206	3100210	3100211	3100212	3100213	3100215	3100217	3100218	3100221	3100223	3100226	3100228	3100232	3100239	3100242	3100248	3100250	3100251	3100252	3100253	3100254	3100255	3100261	3100263	3100264	3100266	3100268	3100271	3100275	3100276	3100282	3100286	3100289	3100290	3100291	3100294	3100296	3100298	3100302	3100304	3100306	3100309	3100311	3100314	3100315	3100316	3100317	3100319	3100320	3100321	3100323	3100326	3100328	3100330	3100332	3100335	3100339	3100340	3100343	3100346	3100357	3100358	3100359	3100360	3100362	3100366	3100368	3100371	3100372	3100378	3100379	3100381	3100385	3100387	3100391	3100392	3100393	3100396	3100398	3100404	3100405	3100409	3100410	3100412	3100413	3100415	3100416	3100418	3100423	3100426	3100428	3100429	3100431	3100433	3100434	3100436	3100438	3100439	3100441	3100442	3100444	3100448	3100450	3100455	3100456	3100457	3100458	3100461	3100465	3100466	3100467	3100468	3100470	3100472	3100473	3100474	3100479	3100483	3100486	3100490	3100491	3100492	3101014	3101027	3101042	3101046	3101062	3101063	3101140	3101143	3101146	3101188	3101190	3101193	3101199	3101221	3101236	3101244	3101254	3101279	3101281	3101295	3101298	3101335	3101336	3101338	3101343	3101371	3101377	3101390	3101404	3101408	3101410	3101412	3101436	3101439	3101453	3101454	3101455	3101457	3101466	3101475	3101478	3101540	3101574	3101595	3101619	3101625	3101631	3101649	3101776	3101779	3101868	3101924	3101950	3101953	3102049	3102063	3102072	3102075	3102078	3102081	3102120	3102134	3102154	3102181	3102273	3102302	3102415	3102435	3102438	3102455	3102461	3102509	3102537	3102538	3102539	3102544	3102569	3102577	3102582	3102613	3102620	3102634	3102672	3102675	3102680	3102687	3102726	3102732	3102740	3102747	3102749	3102752	3102762	3102777	3102795	3102806	3102819	3102919	3102931	3102932	3102957	3102986	3102998	3103033	3103098	3103142	3103145	3103232	3103340	3103387	3103734	3103736	3103779	3103859	3104001	3104003	3104004	3104006	3104008	3104010	3104011	3104013	3104014	3104025	3104028	3104032	3104034	3104038	3104040	3104041	3104042	3104043	3104044	3104045	3104047	3104052	3104054	3104056	3104061	3104062	3104064	3104065	3104067	3104068	3104070	3104071	3104072	3104074	3104076	3104079	3104080	3104081	3104082	3104084	3104088	3104090	3104091	3104092	3104095	3104098	3104102	3104106	3104108	3104111	3104112	3104114	3104115	3104118	3104119	3104123	3104124	3104125	3104126	3104129	3104130	3104131	3104132	3104134	3104140	3104142	3104144	3104146	3104150	3104151	3104152	3104156	3104160	3104165	3104166	3104167	3104168	3104170	3104172	3104174	3104175	3104178	3104181	3104183	3104185	3104186	3104188	3104190	3104192	3104193	3104194	3104197	3104199	3104202	3104205	3104207	3104208	3104210	3104216	3104219	3104225	3104229	3104232	3104233	3104235	3104238	3104243	3104244	3104246	3104249	3104250	3104252	3104255	3104257	3104260	3104261	3104264	3104266	3104268	3104277	3104278	3104280	3104287	3104288	3104290	3104292	3104296	3104299	3104303	3104306	3104308	3104311	3104316	3104317	3104320	3104322	3104323	3104324	3104326	3104328	3104332	3104334	3104340	3104342	3104343	3104344	3104350	3104884	3104913	3104933	3104940	3104942	3105063	3105127	3105185	3105214	3105263	3105281	3105284	3105301	3105364	3105378	3105379	3105430	3105450	3105460	3105485	3105507	3105508	3105612	3105620	3105625	3105633	3105663	3105672	3105679	3105682	3105716	3105727	3105734	3105747	3105781	3105790	3105808	3105810	3105811	3105812	3105822	3105823	3105828	3105829	3105841	3105868	3105875	3105883	3105892	3105904	3105915	3105919	3105928	3105955	3105963	3106013	3106020	3106061	3106070	3106086	3106106	3106117	3106118	3106119	3106120	3106123	3106130	3106134	3106190	3106202	3106221	3106237	3106286	3106297	3106349	3106350	3106384	3106453	3106604	3106651	3106667	3106676	3107218	3107228	3107242	3107267	3107268	3107277	3107293	3107294	3107305	3107310	3107313	3107336	3107337	3107340	3107341	3107345	3107349	3107358	3107373	3107376	3107391	3107405	3107406	3107407	3107408	3107415	3107418	3107427	3107428	3107429	3107471	3107489	3107499	3107505	3107506	3107507	3107508	3107510	3107518	3107523	3107526	3107527	3107543	3107547	3107567	3107608	3107609	3107644	3107649	3107651	3107656	3107667	3107679	3107747	3107791	3107794	3107802	3107815	3107822	3107830	3107837	3107840	3107859	3107861	3107872	3107873	3107883	3107884	3107891	3107912	3107915	3107943	3107963	3107978	3107997	3108096	3108098	3108100	3108103	3108105	3108107	3108108	3108147	3108156	3108157	3108170	3108171	3108173	3108175	3108187	3108190	3108206	3108222	3108225	3108330	3108332	3108337	3108338	3108363	3108380	3108400	3108420	3108423	3108426	3108437	3108440	3108441	3108459	3108485	3108488	3108490	3108502	3108516	3108545	3108569	3108572	3108581	3108596	3108598	3108601	3108727	3108733	3108734	3108736	3108737	3108738	3108743	3108744	3108746	3108752	3108758	3108761	3108770	3108785	3108798	3108822	3108837	3108867	3108874	3108875	3108879	3108887	3108889	3108893	3108919	3108942	3109028	3109316	3109355	3109364	3109411	3109414	3109428	3109431	3109484	3109501	3109529	3109540	3109547	3109551	3109606	3109641	3109644	3109646	3109669	3109671	3109673	3109676	3109684	3109690	3109699	3109701	3109711	3109753	3109755	3109758	3109814	3109817	3109831	3109864	3109905	3109913	3109926	3109940	3109945	3109952	3109967	3109978	3109981	3109997	3110006	3110025	3110049	3110057	3110086	3110090	3110099	3110105	3110106	3110109	3110121	3110124	3110160	3110164	3110171	3110180	3110185	3110193	3110194	3110195	3110196	3110197	3110202	3110205	3110224	3110226	3110236	3110242	3110243	3110244	3110249	3110250	3110251	3110252	3110253	3110254	3110258	3110265	3110272	3110305	3110314	3110339	3110367	3111905	3111908	3111910	3111924	3111933	3111936	3111938	3111943	3111946	3111969	3111970	3111984	3111986	3111989	3111992	3111998	3112001	3112008	3112013	3112060	3112063	3112066	3112069	3112072	3112075	3112091	3112118	3112121	3112122	3112129	3112158	3112161	3112164	3112173	3112189	3112204	3112225	3112246	3112298	3112300	3112303	3112312	3112322	3112325	3112331	3112333	3112334	3112338	3112341	3112348	3112358	3112359	3112360	3112363	3112365	3112367	3112371	3112374	3112377	3112393	3112395	3112419	3112430	3112471	3112472	3112487	3112494	3112509	3112514	3112515	3112518	3112524	3112528	3112531	3112545	3112548	3112581	3112584	3112602	3112617	3112665	3112696	3112699	3112712	3112717	3112718	3112726	3112746	3112760	3112762	3112763	3112770	3112773	3112787	3112790	3112808	3112809	3112810	3112836	3112847	3112866	3112869	3112872	3112881	3112917	3112924	3112925	3112935	3112955	3112959	3112960	3112980	3112984	3112987	3112996	3113000	3113022	3113030	3113035	3113044	3113065	3113068	3113069	3113084	3113085	3113100	3113111	3113114	3113118	3113119	3113179	3113252	3113278	3113323	3113339	3113346	3113381	3113393	3113402	3113495	3113510	3113518	3113589	3113593	3113604	3113627	3113663	3113669	3113693	3113740	3113741	3113743	3113744	3113765	3113767	3113776	3113777	3113778	3113831	3113834	3113853	3113877	3113878	3113883	3113884	3113885	3113886	3113888	3113898	3113930	3113931	3113933	3113936	3113986	3113987	3113996	3114003	3114005	3114185	3114201	3114230	3114231	3114234	3114252	3114255	3114265	3114289	3114323	3114327	3114329	3114332	3114356	3114386	3114426	3114427	3114487	3114523	3114532	3114542	3114545	3114727	3114741	3114755	3114775	3114784	3114794	3114796	3114799	3114810	3114812	3114826	3114844	3114860	3114861	3114865	3114873	3114880	3114882	3114895	3114898	3114956	3114959	3114973	3114977	3115000	3115048	3115067	3115068	3115070	3115087	3115112	3115156	3115167	3115259	3115262	3115263	3115267	3115305	3115307	3115309	3115310	3115311	3115312	3115315	3115375	3115398	3115401	3115488	3115499	3115518	3115529	3115530	3115540	3115546	3115551	3115562	3115570	3115575	3115580	3115612	3115615	3115643	3115644	3115646	3115653	3115670	3115681	3115695	3115702	3115704	3115713	3115725	3115800	3116023	3116030	3116119	3116124	3116164	3116173	3116407	3116410	3116439	3116447	3116450	3116456	3116468	3116471	3116472	3116487	3116501	3116510	3116513	3116528	3116536	3116601	3116629	3116659	3116802	3116803	3116809	3116811	3116815	3116820	3116823	3116852	3116870	3116924	3116980	3117015	3117020	3117021	3117052	3117055	3117068	3117076	3117099	3117109	3117110	3117113	3117144	3117165	3117168	3117170	3117174	3117177	3117180	3117182	3117245	3117247	3117249	3117279	3117365	3117368	3117378	3117380	3117383	3117399	3117401	3117434	3117441	3117453	3117461	3117466	3117483	3117486	3117525	3117546	3117584	3117592	3117624	3117627	3117676	3117692	3117756	3117758	3117777	3117813	3117842	3119421	3119467	3119484	3119485	3119496	3119527	3119553	3119562	3119593	3119594	3119644	3119724	3119726	3119727	3119729	3119763	3119773	3119777	3119784	3119925	3119935	3119945	3119987	3120263	3120408	3120447	3120500	3120524	3120536	3120543	3120559	3120666	3120810	3120844	3120848
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					36.654172																																																																																																																																																																																																																																																																																																																																																																														9.603271																																															
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				5.424656																																																																																																																																																																																																																																																																																																																																																																																																	20.988565																																													
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 2																																																																																																																																																																							52.323216																																																																																																																																																															19.932757	104.391878																																																																																																																																																																																																																																																																																																																												20.152110	22.568093																																																																								38.513450																																																																																																																																																																																																																																																																																																																	29.692832																																									21.694960																																								10.768611												20.362486												16.151177																									33.474857			
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	27.062808	9.075452																
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															41.671075																																																																																																																			
Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium meleagridis																																																																																																																																																																																																																																																																																																																																							10.159313																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;Mycosphaerella populi																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			7.618151																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sp. MA 6041																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							15.903282																																																																																																																																																																																																																																																																																																																																																																																																																																											
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;																																			3.643303																																				4.778721										17.246093								4.099721																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium roqueforti																																																																																																																																																																																																																																																					3.698960																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp. BW_MB																																																																																	8.279485																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											313.403042																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans																																																				2.116047												4.665960												10.213244																													29.354415																																																																																																																												21.200755																																																																																															11.575849																																																																							11.038693																																															24.487824																																																																																																																																																																																																																																											28.304173											7.195805																																																																																																																																																																																																																																																			3.655373																																																																																																																																																																																																																									11.118846						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis																									10.210222	14.939213												16.038037				99.485949	16.402666			32.278378		44.845041	9.080083		11.675475	9.455642	32.619670			19.435661			29.572331											29.289827				3.559078		22.603929			32.556659										6.251832	24.250644	37.428486			278.885901	16.372900		3.916537				39.876837			22.316221			5.609892				4.758012					17.525955	22.094059					104.514565													14.798758																																																																																																																																																																																										1.855035																																																																																																																									29.272018												4.308025																																																																																																																																													2.675065																																																																																																																																																																																																																																																																																																																																											5.075777																																																																																																																																																					11.551040																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces hansenii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											64.821557																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;Lodderomyces elongisporus																																																				6.545637																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;																																																																																																									23.163277																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			7.072862																																																																																																																																																																																																																																																																																																																																																						
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma caribbica																																																																																																									13.797474																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii																								1.817516																																																																																	11.311544																																																																																																																																																																																																																																																																																																																																												13.470978																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma sp. JA9																																																																																																																																																																																																																																																																																																																																																																																																																																					3.945696															12.153386	12.531248	2.789428																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia lipolytica																																																																															12.188960																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											55.019685																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;Clavispora lusitaniae																									3.046733																					32.392947					7.144493																																							12.661068																																																					10.656359																										14.849150																																																																																																																																																																																																																																																																																													1.359139																																																																																																																																																																																																																												2.968963																											11.347873																																																																																																																																																														629.223248																																																																																																																																																																																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;[Candida] intermedia																																																																																																																				3.006418																																																					30.238580																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera jadinii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				2.727069																																																																																																																																																																																																																																																																																																																																																																																																																																																																									9.396065					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;																																																																																																																																																																																																																																																					4.156431																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Nakazawaea;Nakazawaea holstii																																																																																																																																						7.212042	19.780504																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	9.950871																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia membranifaciens																																																																																																																																						14.421195																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;[Candida] inconspicua																																																																																																																																										17.115326																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			8.471463																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania unispora																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										11.578482																																																																																																																																																																																																																																																																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																									7.787780																																							2.637956														5.468799																									8.691775														3.289801										4.010693		9.360074																													20.892040																																																																																		5.718613					4.607370																																																																		11.208438							1.401280																																																																																																				8.258423																8.679055	3.985221	9.236794	15.746903	7.546974																																																							1.760688																																																																													5.323539															1.630032									2.950683														7.062997																												2.031662																			3.437194																			1.701545			14.782080																							8.773469	10.251581						8.660373											2.139671										22.489621																																																												2.353251																										3.857693													7.381686					4.310311																											19.258381			14.072392																	1.980705															6.274291																																																											4.625177			4.150865									11.540330								2.254627																	4.630569					4.984672											3.631984							3.728506							6.576107										16.012026										4.572865						7.206615																					6.087491								9.264750					8.001834											4.633655					3.301800												10.615622																			6.331503	4.598441				1.587210	7.058836	4.568536							5.524982							11.903884			6.633940			7.656845
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora;Torulaspora delbrueckii																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								4.677328																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora uvarum																																																																																																																																																																																																																																																																																																																																																																																																																																																																						5.063723																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella pararugosa																																						7.427083																																																	27.089200			10.751728																																																																												22.302219																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												7.199849																																																																																																																																																																																																																																																																																																																																																																																																									3.510867																																																																																							
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;Chaetomium globosum																																																																																																																																																																																																																																																																																																																																																																																																																																																										10.993143																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;																																																																																										8.049475																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa																											24.656618																				70.399686																																											7.295216																						6.849212																																																																																																																																																																																																																																																								5.427525																																	8.936981																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta																	14.671301																																																			2.840046																																																																																																																2.456885																																														26.877979																																																																																															4.658564																										20.253971																																																														3.533653																			4.981929									5.492404																																														47.045090								0.754021																																																																																									5.946259																																																																																			6.013947										28.190863																																																																																																																																																																																																																																																																																																																					23.128657																																																																																																																4.919987																																																												
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;																																																																																																																																																																																																																																																																																																																																																																																																																																																										19.993888																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
