lineage	SRS11692314	SRS11692315	SRS11692316	SRS11692317	SRS11692318	SRS11692319	SRS11692320	SRS11692321	SRS11692322	SRS11692323	SRS11692324	SRS11692325	SRS11692326	SRS11692327	SRS11692328	SRS11692329	SRS11692330	SRS11692331	SRS11692332	SRS11692333	SRS11692334	SRS11692335	SRS11692336	SRS11692337	SRS11692338	SRS11692339	SRS11692340	SRS11692341	SRS11692342	SRS11692343	SRS11692344	SRS11692345	SRS11692346	SRS11692347	SRS11692348	SRS11692349	SRS11692350	SRS11692351	SRS11692352	SRS11692353	SRS11692354	SRS11692355	SRS11692356	SRS11692357	SRS11692358	SRS11692359	SRS11692360	SRS11692361	SRS11692362	SRS11692363	SRS11692364	SRS11692365	SRS11692366	SRS11692367	SRS11692368	SRS11692369	SRS11692370	SRS11692371	SRS11692372	SRS11692373	SRS11692374	SRS11692375	SRS11692376	SRS11692377	SRS11692378	SRS11692379	SRS11692380	SRS11692381	SRS11692382	SRS11692383	SRS11692384	SRS11692385	SRS11692386	SRS11692387	SRS11692388	SRS11692389	SRS11692390	SRS11692391	SRS11692392	SRS11692393	SRS11692394	SRS11692395	SRS11692396	SRS11692397	SRS11692398	SRS11692399	SRS11692400	SRS11692401	SRS11692402	SRS11692403	SRS11692404	SRS11692405	SRS11692406	SRS11692407	SRS11692408	SRS11692409	SRS11692410	SRS11692411	SRS11692412	SRS11692413	SRS11692414	SRS11692415	SRS11692416	SRS11692417	SRS11692418	SRS11692419	SRS11692420	SRS11692421	SRS11692422	SRS11692423	SRS11692424	SRS11692425	SRS11692426	SRS11692427	SRS11692428	SRS11692429	SRS11692430	SRS11692431	SRS11692432	SRS11692433	SRS11692434	SRS11692435	SRS11692436	SRS11692437	SRS11692438	SRS11692439	SRS11692440	SRS11692441	SRS11692442	SRS11692443	SRS11692444	SRS11692445	SRS11692446	SRS11692447	SRS11692448	SRS11692449	SRS11692450	SRS11692451	SRS11692452	SRS11692453	SRS11692454	SRS11692455	SRS11692456	SRS11692457	SRS11692458	SRS11692459	SRS11692460	SRS11692461	SRS11692462	SRS11692463	SRS11692464	SRS11692465	SRS11692466	SRS11692467	SRS11692468	SRS11692469	SRS11692470	SRS11692471	SRS11692472	SRS11692473	SRS11692474	SRS11692475	SRS11692476	SRS11692477	SRS11692478	SRS11692479	SRS11692480	SRS11692481	SRS11692482	SRS11692483	SRS11692484	SRS11692485	SRS11692486	SRS11692487	SRS11692488	SRS11692489	SRS11692490	SRS11692491	SRS11692492	SRS11692493	SRS11692494	SRS11692495	SRS11692496	SRS11692497	SRS11692498	SRS11692499	SRS11692500	SRS11692501	SRS11692502	SRS11692503	SRS11692504	SRS11692505	SRS11692506	SRS11692507	SRS11692508	SRS11692509	SRS11692510	SRS11692511	SRS11692512	SRS11692513	SRS11692514	SRS11692515	SRS11692516	SRS11692517	SRS11692518	SRS11692519	SRS11692520	SRS11692521	SRS11692522	SRS11692523	SRS11692524	SRS11692525	SRS11692526	SRS11692527	SRS11692528	SRS11692529	SRS11692530	SRS11692531	SRS11692532	SRS11692533	SRS11692534	SRS11692535	SRS11692536	SRS11692537	SRS11692538	SRS11692539	SRS11692540	SRS11692541	SRS11692542	SRS11692543	SRS11692544	SRS11692545	SRS11692546	SRS11692547	SRS11692548	SRS11692549	SRS11692550	SRS11692551	SRS11692552	SRS11692553	SRS11692554	SRS11692555	SRS11692556	SRS11692557	SRS11692558	SRS11692559	SRS11692560	SRS11692561	SRS11692562	SRS11692563	SRS11692564	SRS11692565	SRS11692566	SRS11692567	SRS11692568	SRS11692569	SRS11692570	SRS11692571	SRS11692572	SRS11692573	SRS11692574	SRS11692575	SRS11692576	SRS11692577	SRS11692578	SRS11692579	SRS11692580	SRS11692581	SRS11692582	SRS11692583	SRS11692584	SRS11692585	SRS11692586	SRS11692587	SRS11692588	SRS11692589	SRS11692590	SRS11692591	SRS11692592	SRS11692593	SRS11692594	SRS11692595	SRS11692596	SRS11692597	SRS11692598	SRS11692599	SRS11692600	SRS11692601	SRS11692602	SRS11692603	SRS11692604	SRS11692605	SRS11692606	SRS11692607	SRS11692608	SRS11692609	SRS11692610	SRS11692611	SRS11692612	SRS11692613	SRS11692614	SRS11692615	SRS11692616	SRS11692617	SRS11692618	SRS11692619	SRS11692620	SRS11692621	SRS11692622	SRS11692623	SRS11692624	SRS11692625	SRS11692626	SRS11692627	SRS11692628	SRS11692629	SRS11692630	SRS11692631	SRS11692632	SRS11692633	SRS11692634	SRS11692635	SRS11692636	SRS11692637	SRS11692638	SRS11692639	SRS11692640	SRS11692641	SRS11692642	SRS11692643	SRS11692644	SRS11692645	SRS11692646	SRS11692647	SRS11692648	SRS11692649	SRS11692650	SRS11692651	SRS11692652	SRS11692653	SRS11692654	SRS11692655	SRS11692656	SRS11692657	SRS11692658	SRS11692659	SRS11692660	SRS11692661	SRS11692662	SRS11692663	SRS11692664	SRS11692665	SRS11692666	SRS11692667	SRS11692668	SRS11692669	SRS11692670	SRS11692671	SRS11692672	SRS11692673	SRS11692674	SRS11692675	SRS11692676	SRS11692677	SRS11692678	SRS11692679	SRS11692680	SRS11692681	SRS11692682	SRS11692683	SRS11692684	SRS11692685	SRS11692686	SRS11692687	SRS11692688	SRS11692689	SRS11692690	SRS11692691	SRS11692692	SRS11692693	SRS11692694	SRS11692695	SRS11692696	SRS11692697	SRS11692698	SRS11692699	SRS11692700	SRS11692701	SRS11692702	SRS11692703	SRS11692704	SRS11692705	SRS11692706	SRS11692707	SRS11692708	SRS11692709	SRS11692710	SRS11692711	SRS11692712	SRS11692713	SRS11692714	SRS11692715	SRS11692716	SRS11692717	SRS11692718	SRS11692719	SRS11692720	SRS11692721	SRS11692722	SRS11692723	SRS11692724	SRS11692725	SRS11692726	SRS11692727	SRS11692728	SRS11692729	SRS11692730	SRS11692731	SRS11692732	SRS11692733	SRS11692734	SRS11692735	SRS11692736	SRS11692737	SRS11692738	SRS11692739	SRS11692740	SRS11692741	SRS11692742	SRS11692743	SRS11692744	SRS11692745	SRS11692746	SRS11692747	SRS11692748	SRS11692749	SRS11692750	SRS11692751	SRS11692752	SRS11692753	SRS11692754	SRS11692755	SRS11692756	SRS11692757	SRS11692758	SRS11692759	SRS11692760	SRS11692761	SRS11692762	SRS11692763	SRS11692764	SRS11692765	SRS11692766	SRS11692767	SRS11692768	SRS11692769	SRS11692770	SRS11692771	SRS11692772	SRS11692773	SRS11692774	SRS11692775	SRS11692776	SRS11692777	SRS11692778	SRS11692779	SRS11692780	SRS11692781	SRS11692782	SRS11692783	SRS11692784	SRS11692785	SRS11692786	SRS11692787	SRS11692788	SRS11692789	SRS11692790	SRS11692791	SRS11692792	SRS11692793	SRS11692794	SRS11692795	SRS11692796	SRS11692797	SRS11692798	SRS11692799	SRS11692800	SRS11692801	SRS11692802	SRS11692803	SRS11692804	SRS11692805	SRS11692806	SRS11692807	SRS11692808	SRS11692809	SRS11692810	SRS11692811	SRS11692812	SRS11692813	SRS11692814	SRS11692815	SRS11692816	SRS11692817	SRS11692818	SRS11692819	SRS11692820	SRS11692821	SRS11692822	SRS11692823	SRS11692824	SRS11692825	SRS11692826	SRS11692827	SRS11692828	SRS11692829	SRS11692830	SRS11692831	SRS11692832	SRS11692833	SRS11692834	SRS11692835	SRS11692836	SRS11692837	SRS11692838	SRS11692839	SRS11692840	SRS11692841	SRS11692842	SRS11692843	SRS11692844	SRS11692845	SRS11692846	SRS11692847	SRS11692848	SRS11692849	SRS11692850	SRS11692851	SRS11692852	SRS11692853	SRS11692854	SRS11692855	SRS11692856	SRS11692857	SRS11692858	SRS11692859	SRS11692860	SRS11692861	SRS11692862	SRS11692863	SRS11692864	SRS11692865	SRS11692866	SRS11692867	SRS11692868	SRS11692869	SRS11692870	SRS11692871	SRS11692872	SRS11692873	SRS11692874	SRS11692875	SRS11692876	SRS11692877	SRS11692878	SRS11692879	SRS11692880	SRS11692881	SRS11692882	SRS11692883	SRS11692884	SRS11692885	SRS11692886	SRS11692887	SRS11692888	SRS11692889	SRS11692890	SRS11692891	SRS11692892	SRS11692893	SRS11692894	SRS11692895	SRS11692896	SRS11692897	SRS11692898	SRS11692899	SRS11692900	SRS11692901	SRS11692902	SRS11692903	SRS11692904	SRS11692905	SRS11692906	SRS11692907	SRS11692908	SRS11692909	SRS11692910	SRS11692911	SRS11692912	SRS11692913	SRS11692914	SRS11692915	SRS11692916	SRS11692917	SRS11692918	SRS11692919	SRS11692920	SRS11692921	SRS11692922	SRS11692923	SRS11692924	SRS11692925	SRS11692926	SRS11692927	SRS11692928	SRS11692929	SRS11692930	SRS11692931	SRS11692932	SRS11692933	SRS11692934	SRS11692935	SRS11692936	SRS11692937	SRS11692938	SRS11692939	SRS11692940	SRS11692941	SRS11692942	SRS11692943	SRS11692944	SRS11692945	SRS11692946	SRS11692947	SRS11692948	SRS11692949	SRS11692950	SRS11692951	SRS11692952	SRS11692953	SRS11692954	SRS11692955	SRS11692956	SRS11692957	SRS11692958	SRS11692959	SRS11692960	SRS11692961	SRS11692962	SRS11692963
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;																																																																																								0.015981																																									0.015104						0.051137																									0.005121																																	0.010492																																	0.014305																																																0.020518																												0.02777																																	0.007352																																															0.014693																																																																																						0.011825	0.009845																0.009486			0.018247															0.017476															0.009919																																																																											0.016732																																					0.021243		0.011297		0.012749		0.009651														
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis hominis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					0.013120																																																																																																																																																					
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 1																																																0.008131									0.024903		0.016992	0.020431			0.005128																												0.091521			0.017236																																																														0.008496																										0.013099	0.009518																															0.006220	0.036396														0.004223				0.010869							0.008123																				0.009953						0.023973																										0.024414																				0.009754																								0.012975																	0.037627	0.029256																																							0.018305											0.014989																																																																		0.011335			0.076883																				0.008748																									0.028318																																										0.021246																																												0.006846																		0.008715																									0.008766	0.005273		
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			0.012862																																													0.011698																																																																										
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 3												0.013796	0.027115		0.006594		0.022130		0.005966	0.004675						0.013987	0.009554													0.011086	0.012256			0.005279																																														0.006918		0.008140								0.023169	0.021910														0.011830			0.012218				0.012073					0.018466	0.009704								0.008366						0.107470																0.035239	0.010525	0.009423							0.015664	0.006810	0.014550						0.020915		0.016057																	0.072033	0.015687																																			0.059625			0.006868										0.012776																							0.031803													0.006203							0.010064																																											0.069609								0.020465	0.045554																																								0.012883		0.045355	0.054965			0.012012	0.019495				0.007760	0.009913		0.018862		0.014535	0.049946		0.020663									0.011513			0.035045																															0.031562												0.012778	0.016573									0.029251				0.003314			0.020763									0.011497													0.003849	0.022278														0.043313																																				0.009618			0.008520																																																						0.008832		0.017279																																																	
Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 6																																																																																																																																																																																																																																																																																																																					0.016276																																																																																																																																																																																																																																																																																																																																																					
Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium hominis																																																																																																																																																					0.009470																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba histolytica																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	0.007108																																																																																																									
Eukaryota;Fornicata;;Diplomonadida;Hexamitidae;Giardia;																																																																																																																				0.022127																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Eukaryota;Fornicata;;Diplomonadida;Hexamitidae;Giardia;Giardia intestinalis																																																																																																																																																																																																																																									0.009063																																																																																																																																																																																																																																																																						0.031163																																																																																																																																																											
Fungi;Ascomycota;Eurotiomycetes;;;;																																																																																																														0.005758																																																																																																																																							0.003131	0.007098																																					0.0094																																																																																																																																																																																																																																								0.007709																																																																																																																																							
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;;Herpotrichiellaceae sp. UM238																																																																																																																																																																																																																																																																													0.012914																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;																																																		0.007187																																																																																							0.007792																																																																																				0.006197																								0.006389																																																																																																																					0.007378																																																								0.004247											0.004297																																																																					0.007275																						0.008217																																																			0.006112				0.010549							0.013066				0.006991																																																																
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus chevalieri																																																																																																																																																																		0.003821																																																																																																																																																																																																																																																																																																																																																																																																0.009379																																																																																																								
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus minisclerotigenes																																																																																																																																																																																																																																																																																											0.001472																																																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus novoparasiticus																																																																																																																																																																																																																																																																																											0.006025																																																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus oryzae																																																																																																																																																																																																																																																																																											0.001249																																																																																																																																																																																															0.006368																																																																																																																																																																																
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sp. MA 6041																																																																																																										0.016408																																																																																																																										0.018906																																																																																																																																																																																																																																																																																																																																																																																																					0.005207																																	
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces islandicus																																																																																																																																																																																																																																																																																																																																																								0.006505																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;Diutina;																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															0.015421																																																																																																																											
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;																																																																																																																																																																																																																											0.013088																																																																																																																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans																																																			0.005061		0.004380																																																																																															0.008625										0.003624																										0.004425	0.011608	0.006256																				0.004442																																																	0.006644																																		0.014149		0.011077		0.010843	0.010026		0.012001																																0.008889																																																			0.014617																																																																		0.007067		0.008080																																						0.007702																																															0.013233																																																						0.008305		0.011434	0.017147													0.006835	0.014531				0.012298																																											
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida dubliniensis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					0.006857					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida metapsilosis																																																																																																																																																																																																																																																					0.009098																																																																																																																																																						0.014153																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida orthopsilosis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						0.003252																																																				
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida tropicalis																																																																																																																																																																																																																																																																																																																																																											0.007222															0.006913													0.006067	0.006430																																																	0.003801																																																												0.009583																																																																				0.006538																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma carpophila																																																																																																																																																																																								0.012410																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;[Candida] intermedia																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					0.004804																																																																																																																																																																					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;Wickerhamomyces anomalus																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.009124																																																																																																																																														
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;																																																																																																																																																																																																																																																																																																																																																								0.002884																																																																																																																																																																																																																																																																																																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia kudriavzevii																																																																																																																																																																																																																																								0.013978																																																																									0.004253																																																																																																																																							0.009048	0.006588																																																							0.031939					0.006950		0.007994																																																																																														0.009238																																																					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia occidentalis																																																																																																																																							0.008683																														0.008176											0.009969																																																																																																																																																																																																																																																																																																																																																			0.008410																																																																																																																																							
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus																																																																																																																																																																																																																																																																																																																																																																																														0.011875																																																																																																																																																																																																																																																																												
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;Lachancea fermentati																																																																																																																																																																																																																																																																																																																																																																																																																																																															0.008483																																																																																																																																																																																																											
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;																																																																																																																																																																																																																																											0.012198																																																																																																																																																																																																																																																																																																																																																																																																																															
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;[Candida] glabrata																																																																																																																																		0.007041																																																																																																																																																																	0.007781								0.004058																																																																																																																																				0.007905																																													0.015564																								0.004333																					0.007672																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;[Candida] nivariensis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									0.010584																																																																																																																																	
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae																									0.017868																											0.009160																															0.009652																			0.008168					0.011724				0.005195															0.009211												0.003187		0.010233		0.011768									0.004113		0.137838			0.010993																								0.009259																				0.010615	0.011848					0.004093																						0.007879				0.006603				0.011020									0.012434					0.011329																																				0.009436																																									0.007324																				0.009899														0.015952																																												0.009185					0.015135	0.010816																		0.015312												0.009550				0.003579		0.017717																									0.006857																								0.005922																					0.006698																					0.015693																	0.022374			0.008637																												0.008598																														0.006136																																		
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;																																																																																																																																																																																																																0.002402																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces pseudobailii																																																																																																																																																									0.007457																																																							0.004016																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella;Wickerhamiella versatilis																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			0.002690																																																																																																																																							
Fungi;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;Schizosaccharomyces pombe																																																																																																																																																									0.007856																				0.007877																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium humuli																																																																																																																																																																																																																																																																																	0.010320																																																																																																																																																																																																																																																																																																																																																																																									
Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;																																																																																																																																																																									0.008431																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;	0.005735																																																																																													0.005328																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia furfur																															0.003380																																																																																																0.005494																																																																																						0.008824																																																																																																																																																																																																																																																																																																																																																																																																																																																					
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia japonica																																															0.010219																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon asahii																																																																																																																																																																									0.004825																																																																																						0.008938																																																																																																																																																																																																																																																																																																																																																																0.007709						0.004786																																					
Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia mellicola																																																																0.002831																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Fungi;Mucoromycota;Mucoromycetes;Mucorales;;;																																																																												0.003170																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Metazoa;Arthropoda;Insecta;Diptera;Phoridae;Megaselia;Megaselia scalaris						0.016163																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
Metazoa;Nematoda;Chromadorea;Rhabditida;Strongyloididae;Strongyloides;Strongyloides stercoralis																																																																																																																				0.005226																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Viridiplantae;Chlorophyta;Chlorophyceae;Sphaeropleales;;;																																																																																																																																																																0.006568																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
